t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,futureOI_sma_meandev,futureOI_upper,futureOI_lower,longperm_sma_meandev,longperm_upper,longperm_lower,perpCVD_sma_meandev,perpCVD_upper,perpCVD_lower
2021-06-10,36744.73930845569,6.07606486613e-05,6756052267.005681,11693894367.290451,79150761.74548602,84272257.22736876,11550759791.298824,,,-71653.88812688539,,,-793870.2794596904,,
2021-06-11,37242.88691336585,1.90837185137e-05,7003661034.469675,12114595291.884008,80411673.53779271,79836980.18373898,11638190008.530857,,,-30034.652860641112,,,-809685.3664080352,,
2021-06-12,35512.90011452891,-4.80127250833e-05,6621993438.37644,11608007669.74941,73422725.23201531,79112521.78237456,11680371976.590973,,,-78165.11532130404,,,-1009402.0952467631,,
2021-06-13,39019.88742092465,3.39207028939e-05,7491236952.464508,12645440589.9372,85478449.2104497,76650943.98208518,11845431115.597351,,,-114144.66591654725,,,-1124860.937917636,,
2021-06-14,40536.096186703144,5.03069855244e-05,7745491366.015457,13027393958.86188,77396694.13122104,77478499.31761917,12058492804.110493,,,-63765.77769873152,,,-46797.66737044283,,
2021-06-15,40239.188062720765,3.92733417617e-05,7783374198.598144,13113806784.872814,65150538.76548373,65186888.05496847,12349568505.810736,,,-62493.76040424127,,,1648679.7695810455,,
2021-06-16,38287.525924097135,-7.1261060978e-06,7708460196.037181,12930168060.349785,75734187.72076923,82133526.67648458,12447615246.13508,,,160103.74545355522,,,-1132369.5544888526,,
2021-06-17,38109.19708064974,-4.25002060237e-05,7793976737.702786,12936504526.423603,69126699.48407605,73664536.75513843,12625130983.1541,,,54139.78327795449,,,-1048989.8100859437,,
2021-06-18,35713.84377788781,-7.09276089975e-05,7226009383.174168,12347517444.595396,72851129.42221937,81904620.61324407,12658405576.398586,,,-38171.56870622147,,,-2424444.7450971496,,
2021-06-19,35668.695876869904,-3.78785950487e-05,7317661958.398067,12483494563.285652,63452797.126389846,67421317.12108564,12783475132.618046,,,-32349.112072686166,,,-2178548.094288085,,
2021-06-20,35704.62085788758,-0.0001422893117947,7105315784.376228,12268582322.09689,74827341.0560098,79461110.48279272,12729638237.21229,,,-213080.32864629562,,,-4101587.3307377184,,
