t,price_usd_close,marketcap_realized_usd,lth_sum,sth_sum,rhodl_ratio,rcap_sma_zscore,rcap_upper,rcap_lower,sthlth_sma_meandev,sthlth_upper,sthlth_lower,rhodl_sma_maxmin,rhodl_upper,rhodl_lower
2024-02-15,51932.74411520152,457018865559.61993,728668420368.5752,133243305975.60786,2915.2256678480467,3.1840179123042236,3.704682560258396,0.2907186179182355,0.18134518894538587,0.17812935403150623,0.15183497478170735,7.778751944162587,7.871838021584986,7.124651669939054
2024-02-16,52182.30523643026,457785338832.7228,731493322357.6892,134361591514.54492,2928.7040147364096,3.2901088603840525,3.7188332662259,0.31501183603306226,0.1817765709706674,0.17817499865230094,0.15185213755469992,7.829788232273657,7.871838021584986,7.124651669939054
2024-02-17,51665.38478447679,458134519542.03625,724330212465.5953,133026643879.54544,2936.514794515712,3.392942634364791,3.7336961794187618,0.3401545676167099,0.18216815022687596,0.17822553641862965,0.1518694929564831,7.876689999729299,7.876689999729299,7.124651669939054
2024-02-18,52122.54545558931,458562064729.03503,730826538788.933,134092490380.88144,2984.2316676124315,3.4907011159229375,3.749205379377761,0.36623931743718807,0.18258978485476782,0.17828128516153033,0.15188737598842325,7.921391970681631,7.921391970681631,7.124651669939054
2024-02-19,51770.63461692279,460097175453.246,725840885942.8196,133917756791.07596,2933.9494940454856,3.600444560043083,3.7654705033579736,0.39334241430019556,0.1830730460811552,0.17834291377456246,0.15190491500209374,7.949098874571159,7.949098874571159,7.124651669939054
2024-02-20,52300.93374582081,460595637491.00806,733472299445.9077,135147168836.27509,2818.398538752271,3.700946277948924,3.782403949224473,0.4213756604609853,0.1834136468310623,0.1784088255909475,0.15192247583256047,7.974879236353854,7.974879236353854,7.124651669939054
2024-02-21,51847.05828695659,461245016256.7241,723760382562.8276,133756621613.308,2609.201354344528,3.747270333189718,3.7994424772875277,0.4501337482711103,0.18389140843384522,0.17848052718512294,0.1519420386069947,7.9629889171872055,7.974879236353854,7.128223670168283
2024-02-22,51321.394587837734,462172217993.8468,718527456895.9392,133152884775.77396,2675.2437872758296,3.856793551654717,3.8173217707072236,0.47941153564384864,0.18424211407844782,0.17855660038560553,0.1519641670581852,7.950716528436955,7.974879236353854,7.144966006450863
2024-02-23,50723.74776329093,463067910748.74994,709086753029.1443,133476969460.85393,2686.3062651078894,3.9485900959145566,3.8359695547779853,0.5086417912491714,0.1848930608461661,0.17864036925032545,0.15198875022357372,7.938374686288754,7.974879236353854,7.153153364637776
2024-02-24,51569.852896552395,463365619316.5025,721044062302.2628,135647773404.4603,2678.9995934446624,4.057521748895218,3.8556163011672364,0.537730946243749,0.18553194520800398,0.17873169454417812,0.1520170464947966,7.92526325838766,7.974879236353854,7.153153364637776
2024-02-25,51730.16571220854,463669329480.8555,723610151912.1324,135925013076.1828,2646.495797193184,4.159043782312647,3.876193446980025,0.566670222655157,0.18615512798251904,0.17883039729859312,0.1520487973445755,7.908105273862672,7.974879236353854,7.153153364637776
2024-02-26,54521.83188833384,464761829947.18494,762197368383.231,143268529372.72845,2747.731279526123,4.241421884743688,3.8974952040889534,0.5954058437769416,0.18665049946731851,0.1789350567959114,0.1520844609072672,7.898737576202452,7.974879236353854,7.153153364637776
2024-02-27,57040.002844995666,467246773534.3508,796982352636.4321,150872309197.07666,3061.688394934783,4.384138927810907,3.9203032891776757,0.623785694463026,0.18737161042994563,0.1790481741657941,0.1521240908045901,7.910565818669876,7.974879236353854,7.161944571376255
