t,price_usd_close,futures_funding_rate_perpetual_v2,futures_open_interest_perpetual_sum,futures_open_interest_sum,futures_volume_buy_perpetual_sum,futures_volume_sell_perpetual_sum,long_interest,preplongsideinterest_ema_maxmin,prep_long_interest_3ema,futureopeninterest_sma_maxmin,perp_cvd_bias_sum,perp_cvd_sum7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2021-04-11,60226.42360963432,0.0010167319600848,13427222638.584309,348727.6392200407,20117964.913690116,20931042.48415269,13651886.391822824,0.5319648874532492,11419514.078625087,1.0,,-2855851.041809899,0.7659824437266246,-0.4058936892077418
2021-04-12,59915.46446523154,0.0008652670765969,13946026985.935013,361081.3640772607,44821436.21129366,42657517.05714571,12067038.000261465,0.7621006845163656,11743276.039443277,1.0,,-3233073.7424749965,0.8810503422581828,-0.5038545494210296
2021-04-13,63603.70817233695,0.0009814228770015,15260027633.069813,368085.29143126,42371377.929382525,32883704.815572053,14976540.222769767,1.0,13359908.131106522,1.0,,4313603.3529823655,1.0,-0.6051200712839219
2021-04-14,62922.213180229075,0.0007122354216188,14745972196.660952,363881.89134597086,34224477.23463995,34645673.729809694,10502603.724667914,0.7652037428008873,11931255.927887218,1.0,,9270248.178613435,0.8826018714004437,-0.5051754141570808
2021-04-15,63285.56727067338,0.0007292153582981,14639482241.737942,359733.3438462793,13722672.662488423,12667986.66061438,10675335.288207605,0.6619996652544424,11303295.60804741,0.9873445667418321,,9003529.649417114,0.8246721159981373,-0.45897392704276685
2021-04-16,61611.99680584272,0.000535762747814,14360146761.338902,359077.6251553451,27964817.91449635,27551729.589970987,7693631.687867243,0.3653789844844286,9498463.647957327,0.9027791301506607,,8333667.746575126,0.6340790573175447,-0.3175370906949063
2021-04-17,60803.84653163625,0.0005189938928344,14373046367.413958,366182.6323817396,13258201.869119968,13241302.16034148,7459523.2861135015,0.19783101005987702,8478993.467035415,0.9243788613366677,,11901992.237504002,0.5611049356982724,-0.25009387621163737
2021-04-18,56163.105403277135,0.0001269532720145,11728191877.607271,337356.10332165717,92805754.63669476,94295861.34937908,1488932.3336761254,-0.376570579076864,4983962.90035577,0.7142976864012451,,11224963.095282257,0.16886355366219058,0.03210907650443251
2021-04-19,55657.83923174755,0.0001354296222744,11389271547.451303,325133.93818608363,34709576.370330304,40046923.06292009,1542444.7436519014,-0.6593740425286394,3263203.822003836,0.3956288303241877,,3723697.248544514,-0.13187260610222584,0.20967533851401554
2021-04-20,56379.21247716248,0.0001828433380128,11636364004.75724,318756.18489531067,50553773.69210172,41655653.305102974,2127631.6369618075,-0.7526886009027736,2695417.7294828217,-0.04961837520139811,,3134144.521732785,-0.40115348805208584,0.3292977866723654
2021-04-21,53861.436959475745,7.5432215421e-05,11442950478.292454,323902.21751813,45720744.95215248,49650049.967927955,863167.1055303913,-0.9032520437705865,1779292.4175066066,-0.17592564414021106,,-373963.9988729432,-0.5395888439553989,0.4160538657206072
2021-04-22,51826.89354372698,0.0001714158558503,11143405050.113403,329625.11298876954,128376045.06929363,109173578.77902412,1910156.3137517443,-0.8924984282399441,1844724.3656291754,-0.13376176435572962,,17773816.28952252,-0.5131300962978369,0.4039099204022669
