t,price_usd_close,volume_sum,active_count,transfers_volume_entity_adjusted_sum,fee_ema_percentile,fee_upper,fee_lower,volume_sma_zscore,volume_upper,volume_lower,address_sma_meandev,address_upper,address_lower
2020-04-09,7301.01277516,169918.30946385235,724013,1508953090.6686568,162933.2062247008,314932.7440555347,154590.62863318747,1373924308.4437683,,,746406.5714285715,,
2020-04-10,6862.78799691,144585.7758897457,739563,1392218446.4180837,158346.34864096093,314932.7440555347,154239.9168287072,1369274376.6774747,,,744288.2857142857,,
2020-04-11,6852.50192071,94239.19263448518,632958,811055402.7416441,142319.5596393391,314932.7440555347,150641.54535910825,1369976386.447633,,,741004.5714285715,,
2020-04-12,6998.39400574,89316.94225272677,606014,744936426.9884648,129068.90529268421,314932.7440555347,150074.83505759257,1365519672.9457638,,,742342.2857142857,,
2020-04-13,6845.09526906,112900.19786050564,778331,1337614884.0993135,125026.72843463917,314932.7440555347,146831.16260430415,1301822142.3430545,,,743321.2857142857,,
2020-04-14,6841.27304616,154701.85574342846,826328,1220492208.2511718,132445.51026183707,314932.7440555347,143267.43688121036,1217655350.425638,,,726262.5714285715,,
2020-04-15,6643.97961617,180123.96208467215,934898,1669759426.535525,144365.12321754653,314932.7440555347,143240.06324953245,1240718555.1004086,,,748872.1428571428,,
2020-04-16,7106.09484684,198693.4278681208,869689,1884254766.914307,157947.1993801907,314932.7440555347,143240.06324953245,1294333080.2783585,,,769683.0,,
2020-04-17,7098.68627482,181258.1551393717,849149,1549641549.4396908,163774.93831998613,314932.7440555347,143240.06324953245,1316822094.995731,,,785338.1428571428,,
2020-04-18,7259.90292944,138408.51961357275,865591,937694158.9201032,157433.33364338262,314932.7440555347,143240.06324953245,1334913345.8783681,,,818571.4285714285,,
2020-04-19,7191.11311495,112431.19517670169,710287,908883059.9354872,146182.79902671216,314932.7440555347,143240.06324953245,1358334293.4422283,,,833467.5714285715,,
2020-04-20,6882.34018581,155315.90095429023,851022,1531527497.1720874,148466.07450860672,314932.7440555347,143240.06324953245,1386036095.3097675,,,843852.0,,
2020-04-21,6878.03773926,160885.35788286992,816156,1506993294.4128134,151570.89535217255,314932.7440555347,143240.06324953245,1426964821.9042878,,,842398.8571428572,,
2020-04-22,7118.68335661,178728.8158725231,748473,1435180733.0377407,158360.37548226025,314932.7440555347,143240.06324953245,1393453579.9760327,,,815766.7142857143,,
2020-04-23,7430.16504043,299848.26999219635,942804,2020016615.6812544,193732.34910974448,314932.7440555347,143240.06324953245,1412848129.7998824,,,826211.7142857143,,
2020-04-24,7549.13338764,279473.9985723208,895121,2012056278.1926425,215167.76147538866,314932.7440555347,143240.06324953245,1478907376.7645898,,,832779.1428571428,,
2020-04-25,7569.23791751,210602.81324531412,826116,881188754.4206706,214026.52441787004,314932.7440555347,144392.49684922444,1470835176.1218135,,,827139.8571428572,,
2020-04-26,7680.48287014,158133.09573516937,706083,864198913.6552814,200053.16724719486,314932.7440555347,145183.07733167105,1464451726.653213,,,826539.2857142857,,
2020-04-27,7794.71391216,217150.79063647735,874525,1669118760.0110717,204327.57309451548,314932.7440555347,145183.07733167105,1484107621.3444963,,,829896.8571428572,,
2020-04-28,7807.29683833,215872.5180392264,932431,1772672418.9186916,207213.8093306932,314932.7440555347,145183.07733167105,1522061781.9881933,,,846507.5714285715,,
2020-04-29,8801.03776688,435630.450218876,910172,2644956667.5986657,264317.969552739,314932.7440555347,145183.07733167105,1694886915.496897,,,869607.4285714285,,
2020-04-30,8657.1939924,945198.5710220272,949644,3053225749.56438,434538.1199200612,319368.86737175327,145183.07733167105,1842488220.3373432,,,870584.5714285715,,
2020-05-01,8855.32022959,971938.3587101512,944666,2411772745.970169,568888.1796175839,322255.42436374136,145183.07733167105,1899590572.8769898,,,877662.4285714285,,
2020-05-02,8985.17081572,607552.8557517178,989265,1252456022.385745,578554.3486511173,337185.48158818233,145183.07733167105,1952628754.014858,,,900969.4285714285,,
2020-05-03,8898.12241256,514642.8953756083,906303,1186010529.2540069,562576.4853322401,360105.0659168648,145183.07733167105,1998601841.9575326,,,929572.2857142857,,
2020-05-04,8915.36266471,590642.7822144581,893441,1979388644.5498235,569593.0595527947,405011.50190345134,145183.07733167105,2042926111.1773546,,,932274.5714285715,,
2020-05-05,8987.61019034,642285.3969476199,971843,1750962326.430194,587766.143901501,504959.22089675925,145183.07733167105,2039824669.3932836,,,937904.8571428572,,
2020-05-06,9253.07620782,630977.8172892653,974460,2176628785.430105,598569.062248442,566047.9171891791,145183.07733167105,1972920686.2263465,,,947088.8571428572,,
2020-05-07,9982.3230001,840048.692848326,1011686,2913975293.8244514,658938.9698984129,569275.8635819498,145183.07733167105,1953027763.977785,,,955952.0,,
2020-05-08,9854.15920563,1033420.890257406,952933,3050405385.323289,752559.4499881611,574521.768556872,145183.07733167105,2044260998.171088,,,957133.0,,
2020-05-09,9590.06333149,848089.2162414948,913693,1921112768.7299883,776441.8915514945,583620.8360388282,145183.07733167105,2139783390.5059798,,,946337.0,,
2020-05-10,8761.29974684,550405.7067887342,872989,1567158944.7533362,719932.8453608043,593707.7489923185,145183.07733167105,2194233164.1487412,,,941577.8571428572,,
2020-05-11,8599.78194656,772120.3107098897,990652,2451804890.502273,732979.7116980756,631772.5114559259,145183.07733167105,2261721199.2848053,,,955465.1428571428,,
2020-05-12,8800.72972155,964749.7523938498,958679,2122939086.4746208,790922.2218720192,692485.601402728,145183.07733167105,2314860736.434009,,,953584.5714285715,,
2020-05-13,9274.85620315,983053.8340346375,854774,2381142259.658091,838955.1249126738,727108.6218463036,145183.07733167105,2344076947.0380073,,,936486.5714285715,,
2020-05-14,9742.73285277,1395467.4711557922,881291,2222249605.8203864,978083.2114734536,743748.5677576226,145183.07733167105,2245258991.6088552,,,917858.7142857143,,
2020-05-15,9324.74955892,1539026.8743381675,896252,2145097888.407214,1118319.127189632,765694.7928479944,145183.07733167105,2115929349.192273,,,909761.4285714285,,
2020-05-16,9378.12485501,1019188.0147886816,879025,1259752217.6744127,1093536.3490893946,784406.0732277831,145183.07733167105,2021449270.4700475,,,904808.8571428572,,
2020-05-17,9670.02672308,971484.560581125,769750,1142168500.3180358,1063023.401962327,817340.3185443791,145183.07733167105,1960736349.8364334,,,890060.4285714285,,
