t,price_usd_close,investor_capitalization,current,liveliness,realized_profit_lth_account_based,realized_loss_lth_account_based,profit_relative,supplyinprofit_percentile_maxmin,aviv_percentile_maxmin,aviv,lthrealized_plratio_logpercentile_maxmin,lth_realized_pl_ema7,aggregate_indicator_equalweight,aggregate_indicator_PCA
2014-03-28,501.09610014200007,3535028501.8041067,6301128020.433836,0.5165742064972225,1462990.1769264755,12782.51023977414,0.5989311451795648,,,0.9207847137673231,,659.441652240668,,0.04379978535843776
2014-03-29,491.9478371900001,3532864049.188205,6188256022.066091,0.5162324296910175,838960.6018394063,6374.300896515485,0.5939116980443265,,,0.9042460726886197,,527.4852633025041,,0.04379978535843776
2014-03-30,458.77462072399993,3524856460.772956,5772572864.28128,0.5161377882413744,1443767.6612120469,25235.67056770827,0.5867200522807214,,,0.8452664736251306,,409.91679369349004,,0.04379978535843776
2014-03-31,457.023554568,3513543212.623633,5753112322.120951,0.5158863245054306,1517232.6311159688,19698.574659166818,0.5919687039014575,,,0.844717651304949,,326.6932096656738,,0.04379978535843776
2014-04-01,479.312290686,3511192068.502599,6035183923.45189,0.5155749090948241,904295.1110608828,5256.669710525842,0.6020485787971448,,,0.8861917383036344,,288.026942161975,,0.04379978535843776
2014-04-02,439.626726544,3504069522.8426857,5537665652.389919,0.5151704571000375,828016.5503364198,11718.08353106188,0.5826776469958502,,,0.8141510112203814,,233.68556435983373,,0.04379978535843776
2014-04-03,449.53955801,3500172969.617164,5664811963.554031,0.5156203680693004,923611.9072610828,10052.153707358504,0.5947610294460981,,,0.8344994533257545,,198.23467128824944,,0.04379978535843776
2014-04-04,451.900550232,3496322688.501292,5691389508.508931,0.5151387258615637,496590.955938621,4489.743985144268,0.6005372747908825,,,0.8385539325181423,,176.32741062780633,,0.04379978535843776
2014-04-05,463.62556298400006,3478942844.777446,5846557024.739888,0.5155501410039283,726004.6127497997,34569.03409058577,0.6171886389802996,,,0.8664106980133442,,137.49595497968753,,0.04379978535843776
2014-04-06,457.883594364,3479199717.3810024,5774542194.680232,0.5157174437973007,2421137.293119711,5148.679194298621,0.6094393617046296,,,0.8559532023593872,,220.6830533481729,,0.04379978535843776
2014-04-07,448.95518037,3477064587.456552,5664945559.242256,0.5154031291973991,438491.9847433833,18394.767043131826,0.5911242290959682,,,0.8397113699007043,,171.4717564141998,,0.04379978535843776
2014-04-08,453.33637542,3473558506.4775558,5721746439.152381,0.5151077008764484,368828.59244446247,24120.01160015369,0.6070317153753703,,,0.8485003628911331,,132.426665725471,,0.04379978535843776
2014-04-09,443.061913538,3474070362.2864685,5584383529.840151,0.5154348992300443,7624980.058357404,28809.70236318454,0.5805179881214697,,,0.8285342154298394,,165.4867715348783,,0.04379978535843776
2014-04-10,363.851086082,3456238638.588352,4634672136.340032,0.5156218623663039,1921638.1031734531,109774.81140971178,0.5629928534464218,,,0.6914274528719797,,128.49139703990397,,0.04379978535843776
2014-04-11,423.4131448,3442420677.044565,5349206817.652823,0.5155221143266007,658009.619495226,257920.7993166872,0.587994737491898,,,0.8010742054263318,,97.00634979244354,,0.04379978535843776
2014-04-12,423.368963092,3441231113.3289504,5347420460.098005,0.5151093743667452,386414.76997253206,8635.496769463223,0.5860382415083228,,,0.8004421432225121,,83.94157591998498,,0.04379978535843776
2014-04-13,416.864604154,3440075839.0326586,5270102290.810663,0.5146559931003766,751516.7378960314,31615.922490101057,0.5816047349949025,,,0.7884389342359444,,68.8987314427854,,0.04379978535843776
2014-04-14,459.098005824,3440854216.9705286,5806242230.268263,0.5143039760265691,841022.6620894198,29248.17462512375,0.6295986118515077,,,0.8678581760518447,,58.86272507958741,,0.04379978535843776
2014-04-15,522.29491627,3441464740.574931,6613177313.562738,0.5140425807109953,960238.180603788,27016.227981968263,0.6634061175705909,,,0.9877929861908985,,53.032797413456876,,0.04379978535843776
2014-04-16,527.687720992,3459412112.125421,6678199340.591525,0.5150041076985572,4455363.012650012,30928.7595099476,0.6636705427688543,,,0.9941862897396654,,75.78770595096229,,0.04379978535843776
2014-04-17,498.366678046,3466162908.007607,6307379945.13011,0.5149545069070222,3117956.7186598484,26911.06392069736,0.6350011288319751,,,0.937063206699282,,85.80615898006258,,0.04379978535843776
2014-04-18,482.26565610000006,3462031643.753699,6107322954.365808,0.5146741375415634,759985.4569393892,54137.46312498286,0.6248009845292918,,,0.9079296487359431,,67.86413655018632,,0.04379978535843776
2014-04-19,504.842390182,3462490709.870958,6395237282.12227,0.5142656506790039,323390.7751701998,29905.7393172475,0.647412949975542,,,0.9498511729609245,,53.60151973781928,,0.04379978535843776
2014-04-20,500.39539343,3459774370.524974,6349827655.948288,0.5139297413166423,521878.058644817,232728.2503840724,0.6424049204086817,,,0.9432306662620873,,40.76174864412999,,0.04379978535843776
2014-04-21,497.251879218,3459744108.2858377,6291481061.535385,0.5135520433026708,663380.02907657,13549.035408711085,0.6316475082656124,,,0.9338849502810148,,42.81166677529163,,0.04379978535843776
2014-04-22,489.992809938,3456431562.238967,6213287580.5236845,0.5133472795271592,1229757.8356565374,185301.9179255026,0.6237222268194776,,,0.9227939911287042,,33.767877317473555,,0.04379978535843776
2014-04-23,492.0000000000001,3463055926.561466,6219326354.144494,0.513298323328718,4932568.305346166,30320.174890931437,0.6245311734549781,,,0.9218360481363183,,65.99658620062979,,0.04379978535843776
2014-04-24,502.220952572,3463452498.504601,6379857826.100569,0.5130786931719044,838207.9128810094,41252.224065302245,0.6577163758547293,,,0.9451173698647677,,54.57721372249648,,0.04379978535843776
2014-04-25,466.88685158400006,3459062175.445456,5922684137.616137,0.5127107023374133,460542.6569878877,320940.4706628228,0.6118117411074315,,,0.8778748082285547,,41.291654902700614,,0.04379978535843776
2014-04-26,461.0453260000001,3458102842.611365,5839561742.243636,0.512324665473253,427010.7617039976,101251.7964133367,0.6051994859270545,,,0.8651424356848145,,32.02307003051273,,0.04379978535843776
2014-04-27,434.374768044,3457045699.6361103,5571551341.590689,0.5119172177015798,484869.3221750116,36852.448356045024,0.5748862948819496,,,0.8250319228839903,,27.306563778273272,,0.04379978535843776
2014-04-28,442.82037402,3452022835.469945,5604597744.087736,0.5116776299478485,990858.6704501066,75337.3948310851,0.5810227642855305,,,0.830744009292009,,23.767993361866047,,0.04379978535843776
2014-04-29,448.0,3449981828.962297,5693817831.435699,0.5114500886716118,825838.4355916097,66707.12509579412,0.5929021808532523,,,0.8440924558851112,,20.921010862682127,,0.04379978535843776
2014-04-30,448.89941997000005,3448911234.6942925,5706775190.943811,0.5111889886894561,413690.01608876896,22880.533730069797,0.5975539185324651,,,0.8458439316125876,,20.21086704142403,,0.04379978535843776
2014-05-01,460.701262044,3448486045.862563,5851460826.75441,0.5108095418845064,784537.7307050689,29988.34988342596,0.624524234778026,,,0.8667519556460688,,21.698504566605664,,0.04379978535843776
2014-05-02,454.355623846,3447365899.1648483,5763243826.146453,0.5104950228260692,675056.6530869945,125242.02713104556,0.6119887954637547,,,0.8534363263538648,,17.62138267043539,,0.04379978535843776
