t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,Price Momentum,Spot CVD Bias,Spot Volume Momentum,aggregate_indicator_equalweight,aggregate_indicator_PCA
2022-08-07,23172.967968987487,6218884.0833325945,3501185519.2755475,0.47496824392086157,0.514388133624903,-0.6491019624919174,0.11341813835128238,0.441513744562829
2022-08-08,23801.34975110676,67660002.74731097,7654448169.38061,1.0,0.5717774220853888,-0.5859125165588601,0.3286216351755096,0.7307647287458703
2022-08-09,23173.138371556353,-118768629.58190998,6387559309.405242,0.8180142167309918,0.5608388104963888,-0.5769124422607195,0.2673135283222204,0.6360453265217214
2022-08-10,23933.801912690626,45208182.46192849,9552453715.871536,0.6075652915817382,0.6118647804840998,-0.46489050464260406,0.25151318914107795,0.561253771599052
2022-08-11,23958.28242853316,-16360820.3016536,11225302699.860493,0.31439330743266214,0.6312893161988633,-0.3133858450725664,0.21076559285298635,0.43194883876134105
2022-08-12,24404.61607193963,41666243.090759054,7555956548.071949,0.4826847356094275,0.5342345649807045,-0.2994851030173985,0.2391447325242445,0.46868739246669744
2022-08-13,24431.26867136331,10141102.290700376,6692437480.057167,0.5574135080347342,0.4613524449772133,-0.010816343525154704,0.33598320316226427,0.48176365883810934
2022-08-14,24325.84052361464,-16775031.646870472,6756482861.627051,0.6543511833427467,0.44258300521761895,0.12103726767262968,0.4059904854109984,0.5257337936323205
2022-08-15,24147.30782454935,-67022820.49425129,10952927784.767233,0.5818134538148301,0.3326443080793975,0.23152157216099223,0.3819931113517399,0.44123352053065656
2022-08-16,23892.484439590546,-47850624.82735911,8035552479.67169,0.6194117199532194,0.3905331528385674,0.28728486234826156,0.43240991171334947,0.48992613777836613
2022-08-17,23318.944335455068,-21991083.77669667,9564050897.92689,0.43101756520183643,0.3356798344932248,0.26821655406633926,0.3449713179204668,0.36974089096014695
2022-08-18,23217.33129464767,931830.1677253664,6002590889.301924,0.47467218485537366,0.3497954538195318,0.04718853877639928,0.2905520591504349,0.38937821049378285
2022-08-19,20882.650706712266,-227675823.78875408,12827631412.557129,-0.360946120307583,0.15857482303028614,0.2183657646180972,0.005331489113600115,-0.10847727567991305
2022-08-20,21169.07667228611,34015886.74206056,7185472257.183856,-0.21011412661904305,0.20066928937991535,0.21975282693538412,0.07010266323208547,-0.01368149317489642
