t,price_usd_close,spot_cvd_sum,spot_volume_daily_sum,pricemomentum_sma_maxmin,pricemomentum_upper,pricemomentum_lower,spotcvd_sma_maxmin,spotcvd_upper,spotcvd_lower,spotvolume_sma_maxmin,spotvolume_upper,spotvolume_lower
2021-02-01,33543.85974350085,126605979.30183692,6758222410.385314,41.68311654308383,94.0750709789938,32.734538434236654,30963360.565874163,196348462.4978351,-248999177.71252918,9573069578.774874,14591709002.517248,2323148668.748388
2021-02-02,35524.119952273206,137903197.15221962,5598611868.382741,44.738049687900556,94.0750709789938,32.734538434236654,53055220.54882456,196348462.4978351,-248999177.71252918,9323928102.804903,14591709002.517248,2670196571.7506766
2021-02-03,37451.367472916325,102062001.83485256,7245380613.134598,51.63878005683749,94.0750709789938,32.734538434236654,85938173.67389822,196348462.4978351,-248999177.71252918,9004275028.871517,14591709002.517248,2670196571.7506766
2021-02-04,36924.74200585988,-109891787.41938151,9205147760.09582,62.07681227124799,94.0750709789938,32.734538434236654,62637320.58562108,196348462.4978351,-248999177.71252918,9129432829.04817,14591709002.517248,2670196571.7506766
2021-02-05,38123.15354014715,55098672.15175626,7373285382.46777,68.37232373125383,94.0750709789938,32.734538434236654,23704003.30081163,196348462.4978351,-248999177.71252918,7025686099.281743,14591709002.517248,2670196571.7506766
2021-02-06,39271.99676818323,418558793.8557527,9466446641.62068,70.73490917402623,94.0750709789938,32.734538434236654,80122340.73426382,196348462.4978351,-248999177.71252918,7296399822.761233,14591709002.517248,2670196571.7506766
2021-02-07,38904.21414938871,-171583122.97799,7597572130.640463,73.01632277821051,94.0750709789938,32.734538434236654,79821961.98557808,196348462.4978351,-248999177.71252918,7606380972.3896265,14591709002.517248,2670196571.7506766
2021-02-08,45981.86458968448,1013073052.4873034,14830849194.41681,76.36321393296063,94.0750709789938,32.734538434236654,206460115.29778758,206460115.29778758,-248999177.71252918,8759613370.108412,14591709002.517248,2670196571.7506766
2021-02-09,46506.13480907743,183462540.39578277,13695651820.34955,80.95318707502923,94.0750709789938,32.734538434236654,212968592.90401086,212968592.90401086,-248999177.71252918,9916333363.246527,14591709002.517248,2670196571.7506766
2021-02-10,44886.38109967962,224475614.95668232,11267417981.701426,82.04088220110549,94.0750709789938,32.734538434236654,230456251.92141512,230456251.92141512,-248999177.71252918,10490910130.184645,14591709002.517248,2670196571.7506766
2021-02-11,47812.53533389692,388341968.3219795,10260193113.86439,82.95416209329727,94.0750709789938,32.734538434236654,301632502.7416096,301632502.7416096,-248999177.71252918,10641630895.008726,14591709002.517248,2670196571.7506766
2021-02-12,47482.86135240913,-40911936.37511751,9321916506.762552,81.92967864627431,94.0750709789938,32.734538434236654,287916701.52348477,301632502.7416096,-248999177.71252918,10920006769.90798,14591709002.517248,2670196571.7506766
2021-02-13,47067.93913526245,-37728523.46074944,6547468426.261065,80.27877011702938,94.0750709789938,32.734538434236654,222732799.04969874,301632502.7416096,-248999177.71252918,10503009881.999466,14591709002.517248,2670196571.7506766
2021-02-14,48747.45244155483,443056108.6980238,7689887406.223309,82.4537792724085,94.0750709789938,32.734538434236654,310538403.5748435,310538403.5748435,-248999177.71252918,10516197778.511301,14591709002.517248,2717486581.601421
2021-02-15,47984.954753679056,-221137570.85284844,9079860121.544388,83.70346281224646,94.0750709789938,32.734538434236654,134222600.24053615,310538403.5748435,-248999177.71252918,9694627910.958097,14591709002.517248,2717486581.601421
2021-02-16,49175.90051592181,513835745.0922705,11230951042.609848,81.78935661795015,94.0750709789938,32.734538434236654,181418772.34003443,310538403.5748435,-248999177.71252918,9342527799.852427,14591709002.517248,2717486581.601421
2021-02-17,52138.04498768492,604267597.8992302,10775985557.774984,81.885979325954,94.0750709789938,32.734538434236654,235674769.90325552,310538403.5748435,-248999177.71252918,9272323167.862932,14591709002.517248,2717486581.601421
2021-02-18,51649.57543629381,-53100357.23141503,7823900520.436137,82.37716876156807,94.0750709789938,32.734538434236654,172611580.53848484,310538403.5748435,-248999177.71252918,8924281368.801754,14591709002.517248,2717486581.601421
2021-02-19,55776.18881251338,700825129.7725866,10668254094.937754,83.4495345242994,94.0750709789938,32.734538434236654,278574018.55958545,310538403.5748435,-248999177.71252918,9116615309.96964,14591709002.517248,2717486581.601421
2021-02-20,56134.54415202914,-278931299.5629581,11411282630.23278,84.20520370879845,94.0750709789938,32.734538434236654,244116479.1164128,310538403.5748435,-248999177.71252918,9811445910.53703,14591709002.517248,2717486581.601421
2021-02-21,57487.03807408455,312261250.7275063,7560965803.572231,84.97607895527233,94.0750709789938,32.734538434236654,225431499.40633884,310538403.5748435,-248999177.71252918,9793028538.729733,14591709002.517248,2717486581.601421
2021-02-22,54092.68879988714,-559442403.2462267,19433202848.891724,77.15986174853256,94.0750709789938,32.734538434236654,177102237.63585624,310538403.5748435,-248999177.71252918,11272077499.779352,14591709002.517248,2717486581.601421
2021-02-23,48548.9572135791,-687023729.7926393,24680985823.48059,61.04371580130584,94.0750709789938,32.734538434236654,5550884.080869147,310538403.5748435,-248999177.71252918,13193511039.903744,14591709002.517248,2717486581.601421
2021-02-24,49652.01003172871,100461514.56984843,12145045703.72947,56.35451705045996,94.0750709789938,32.734538434236654,-66421413.53761397,310538403.5748435,-248999177.71252918,13389091060.754383,14591709002.517248,2717486581.601421
2021-02-25,47209.54406873052,-207656844.801138,10994284929.1046,53.89694819869973,94.0750709789938,32.734538434236654,-88500911.7618601,310538403.5748435,-248999177.71252918,13842003119.135592,14591709002.517248,2717486581.601421
2021-02-26,46243.95205410501,-380498956.6833193,13771187300.735416,48.267169701451024,94.0750709789938,32.734538434236654,-242975781.25556093,310538403.5748435,-248999177.71252918,14285279291.3924,14591709002.517248,2717486581.601421
2021-02-27,46319.69639361085,-178106817.34384292,7286068429.587598,48.136328627542945,94.0750709789938,32.734538434236654,-228572283.79568735,310538403.5748435,-248999177.71252918,13695962977.014517,14591709002.517248,2717486581.601421
2021-02-28,45119.12569768188,-219825740.59708244,9690578835.516035,45.79946265132642,94.0750709789938,32.734538434236654,-304584711.12777144,310538403.5748435,-304584711.12777144,14000193410.149347,14591709002.517248,2717486581.601421
2021-03-01,49768.16035012147,368125253.2673239,10390715898.909004,48.000087942207045,94.0750709789938,32.734538434236654,-172075045.9115499,310538403.5748435,-304584711.12777144,12708409560.151815,14591709002.517248,2717486581.601421
